"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"321 Schroeder Street","Sunnyvale","   6254"," 1050000"," 2230.800"," 2020923","371.8212","0.0931916220","32"
"1734 Austin Avenue","Los Altos","  13750"," 2498000"," 3536.600"," 4079975","366.5601","0.0661415665"," 4"
"1861 Bahia Street","San Mateo","   6000"," 1008000"," 2582.000"," 2100000","365.9954","0.0955907102"," 0"
"12121 Page Mill Road","Los Altos Hills","  45738"," 3398000"," 5222.996"," 5701925","364.6930","0.0680560052"," 6"
"722 Santa Susana Street","Sunnyvale","   5500","  950000"," 1985.962"," 1799120","364.1467","0.0824128813","50"
"13 Humboldt Road","Burlingame","   6000"," 1488000"," 2460.000"," 2563002","364.0618","0.0707960460"," 0"
"1341 Vancouver Avenue","Burlingame","   6000"," 1699000"," 2990.000"," 2996421","363.7697","0.0734481659"," 5"
"9951 Saint Elmo Drive","Oakland","   4212","  290000"," 2243.993"," 1183167","361.1176","0.1423875424","28"
"789 17th Avenue","Menlo Park","   5500"," 1098000"," 2282.698"," 2064821","360.2245","0.0771110755"," 1"
"4244 Ruthelma Avenue","Palo Alto","   7645"," 2288000"," 2514.800"," 3431588","359.2242","0.0489531663"," 5"
"1 Fremont Way","Woodside","  12500","  529000"," 1720.023"," 1226991","355.8684","0.0919562941"," 2"
"1008 Loma Verde Avenue","Palo Alto","   7053"," 2298000"," 2514.800"," 3431588","355.2478","0.0455167247"," 5"
"2150 Dartmouth Street","Palo Alto","   4375"," 2495000"," 2185.187"," 3500722","348.1035","0.0333640058"," 0"
"687 Florales Drive","Palo Alto","   8235"," 2588000"," 2739.500"," 3806681","347.5866","0.0382314114"," 1"
"5766 W Walbrook Drive","San Jose","   7700"," 1698000"," 3003.093"," 2938970","344.7253","0.0516805748"," 4"
"855 Acacia Avenue","Sunnyvale","   5000","  899000"," 1805.420"," 1635563","344.5592","0.0558424473","70"
