"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"15440 Quito Road","Saratoga","  42840"," 2499000"," 4800.000"," 4332984","318.8907","0.0230198380","260","257"," 257","7974"," 2","ML81631190, ML81627495"
"20 Alice Avenue","Campbell","   7340","  850000"," 2469.399"," 1758943","318.2218","0.0282853435","484","246"," 246","7974","17","ML81638847, ML81632048, ML81630616, ML81629900, ML81627775, ML81614380, ML81612610, ML81611765, ML81614198, ML81600497, ML81595212, ML81593666, ML81593671, ML81586952, ML81584529, ML81584420, ML81585409"
"1105 Del Cambre Drive","San Jose","   6000"," 1359000"," 2275.014"," 2238451","317.6946","0.0197185745","338","131","4379","7974","26","ML81640498, ML81639008, ML81637279, ML81638364, ML81629022, ML81630546, ML81615353, ML81628114, ML81614414, ML81598195, ML81599199, ML81596138, ML81597563, ML81591858, ML81595157, ML81590952, ML81588265, ML81588168, ML81585651, ML81581125, ML81581126, ML81583663, ML81584914, ML81577457, ML81577529, ML81564814"
"104 Arundel Road","San Carlos","   7000"," 1498000"," 2725.513"," 2535762","315.6319","0.0183986895"," 49","243"," 243","3417"," 2","ML81585571, ML81563941"
"105 Fox Avenue","San Jose","   5310","  449000"," 2075.325"," 1176488","310.8592","0.0210306842","431"," 55","4379","7974","18","ML81638599, ML81634845, ML81632460, ML81627599, ML81626052, ML81601149, ML81614127, ML81613833, ML81613835, ML81595357, ML81599729, ML81593525, ML81593451, ML81587461, ML81583751, ML81582358, ML81578759, ML81565393"
"171 Ledyard Street","San Francisco","   2138","  599000"," 1887.695"," 1273777","310.2261","0.0165653787","177"," 13"," 162"," 162","10","ML81635544, ML81635618, ML81628621, ML81626840, ML81613688, ML81593138, ML81593676, ML81581825, ML81579127, ML81576967"
"3436 Greer Road","Palo Alto","   6757"," 2150000"," 2206.738"," 3044801","308.9019","0.0069857466"," 82","183"," 321","7974"," 4","ML81639118, ML81631320, ML81628134, ML81590880"
"534 Hemlock Avenue","Millbrae","   5400","  958888"," 1968.000"," 1683278","308.2116","0.0104308129","  2","118"," 118","3417"," 0",""
"56 Eugenia Way","Hillsborough","  34578"," 3999000"," 6440.900"," 6417979","305.8144","0.0063140175","  9","251"," 100","3417"," 1","ML81592530"
"19640 Redberry Drive","Los Gatos","  97138"," 2580000"," 4800.000"," 4332984","302.0157","0.0024067517","260","128"," 288","7974"," 2","ML81631190, ML81627495"
"1389 Munro Avenue","Campbell","   7380","  895000"," 2482.857"," 1768528","301.9632","0.0029723640","484","246"," 246","7974","18","ML81638847, ML81632048, ML81630616, ML81629900, ML81627775, ML81614380, ML81612610, ML81614651, ML81611765, ML81614198, ML81600497, ML81595212, ML81593666, ML81593671, ML81586952, ML81584529, ML81584420, ML81585409"
"1411 Kavanaugh Drive","East Palo Alto","   5500","  795000"," 2435.200"," 1643221","301.0824","0.0017277277","177","183","  85","3417"," 1","ML81577135"
"19750 Littlebrook Drive","Los Gatos","  82328"," 2588000"," 4800.000"," 4332984","300.3490","0.0004158744","260","128"," 288","7974"," 2","ML81631190, ML81627495"
