"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 94.73","59","16","Los Gatos/Monte Sereno","5","2","5","Santa Clara","21","","$4,795,000","03/23/2015","48,352","ML81456339","410-28-003","Monte Sereno","855.16","04/13/2015","$4,580,250","5,356","Sold","18110 Constitution Avenue","1956","95030","R144"
"$ 306.40","96","440","Hillsborough Heights","3","1","4","San Mateo","6","","$3,895,000","03/27/2015","14,850","ML81457171","032-253-210","Hillsborough","1,184.90","04/02/2015","$4,550,000","3,840","Sold","421 Roehampton Road","1919","94010","R10025"
"$ 93.91","37","221","Los Altos Hills","3","1","5","Santa Clara","7","","$3,985,000","03/26/2015","47,916","ML81456909","336-30-074","Los Altos Hills","959.69","04/02/2015","$4,500,000","4,689","Sold","25463 Adobe Lane","1978","94022","RA"
"$ 590.44","81","238","Green Gables","3","1","4","Santa Clara","7","","$4,495,000","04/15/2015","7,613","ML81459954","003-58-032","Palo Alto","1,590.02","04/22/2015","$4,495,000","2,827","Sold","1716 Fulton Street","1934","94303","R1"
"$ 98.07","53","212","Country Club","3","0","5","Santa Clara","8","","$4,400,000","03/24/2015","44,867","ML81456512","331-09-042","Los Altos","1,366.88","04/01/2015","$4,400,000","3,219","Sold","1468 Club View Terrace","1962","94024","R1E-1"
"$ 213.50","14","17","Saratoga","6","1","6","Santa Clara","16","","$4,398,000","03/16/2015","20,600","ML81455180","503-21-025","Saratoga","684.83","04/01/2015","$4,398,000","6,422","Sold","12010 Magnolia Court","2001","95070","R1125"
"$ 48.58","8","336","Cordilleras Heights Etc.","4","1","5","San Mateo","9","","$3,198,000","03/30/2015","89,540","ML81457437","057-214-070","Redwood City","988.64","04/08/2015","$4,350,000","4,400","Sold","3383 Oak Knoll Drive","2007","94062","RH0S18"
"$ 345.88","0","214","South of El Monte","5","0","4","Santa Clara","8","","$3,989,888","03/17/2015","12,432","ML81455565","189-11-026","Los Altos","1,078.78","03/25/2015","$4,300,000","3,986","Sold","971 Stanley Avenue","2015","94024","R110"
"$ 118.87","7","16","Los Gatos/Monte Sereno","4","1","5","Santa Clara","94","","$4,399,000","03/21/2015","36,174","ML81456213","529-31-099","Los Gatos","770.06","06/23/2015","$4,300,000","5,584","Sold","80 Reservoir Road","2008","95030","R120"
"$ 197.43","47","442","Hillsborough Park Etc.","3","1","4","San Mateo","5","","$3,999,900","03/22/2015","21,780","ML81456255","031-312-120","Hillsborough","1,457.63","03/27/2015","$4,300,000","2,950","Sold","740 El Cerrito Avenue","1968","94010","R10025"
"$ 184.55","0","335","Farm Hills Estates Etc.","5","1","5","San Mateo","38","1","$4,198,000","03/31/2015","23,300","ML81455498","057-027-030","Redwood City","1,021.38","05/08/2015","$4,300,000","4,210","Sold","1005 Lakeview Way","2015","94062","RH"
"$ 97.40","49","221","Los Altos Hills","3","1","4","Santa Clara","15","","$3,798,000","03/30/2015","43,996","ML81457562","336-35-063","Los Altos Hills","989.38","04/14/2015","$4,285,000","4,331","Sold","24871 Olive Tree Lane","1966","94024","RHS"
"$ 316.22","1","214","South of El Monte","4","0","5","Santa Clara","1","","$3,998,000","04/05/2015","13,440","ML81458720","197-19-084","Los Altos","1,181.87","04/06/2015","$4,250,000","3,596","Sold","1350 Miravalle Avenue","2014","94024","R1AB"
"$ 21.52","16","17","Saratoga","5","1","5","Santa Clara","19","","$4,299,000","03/23/2015","195,149","ML81456482","503-78-030","Saratoga","739.57","04/11/2015","$4,200,000","5,679","Sold","22665 Garrod Road","1999","95070","AW"
"$ 65.15","2","13","Almaden Valley","7","1","6","Santa Clara","136","110","$4,200,000","03/31/2015","64,469","ML81457616","583-72-007","San Jose","436.36","","","9,625","Canceled","6970 Hollow Lake Way","2013","95120","R1"
"$ 52.96","9","16","Los Gatos/Monte Sereno","5","1","6","Santa Clara","108","","$4,199,000","03/28/2015","79,279","ML81457356","527-04-009","Los Gatos","826.74","","","5,079","Canceled","107 Drysdale Drive","2006","95032","HR"
"$ 339.05","7","16","Los Gatos/Monte Sereno","4","1","5","Santa Clara","67","","$4,150,000","03/23/2015","12,240","ML81456513","532-08-045","Los Gatos","761.05","","","5,453","Canceled","16756 Littlefield Lane","2008","95032","R1-8"
"$ 0.22","60","1","Morgan Hill / Gilroy / San Martin","3","0","4","Santa Clara","37","","$3,800,000","03/16/2015","19,035,720","ML81455240","756-09-019","Morgan Hill","943.83","04/22/2015","$4,100,000","4,344","Sold","5770 Croy Road","1955","95037","HS-SR"
"$ 85.57","43","17","Saratoga","5","1","7","Santa Clara","37","","$4,285,000","03/30/2015","47,916","ML81457495","397-08-048","Saratoga","636.65","05/06/2015","$4,100,000","6,440","Sold","18811 Montewood Drive","1972","95070","R140"
"$ 83.29","36","221","Los Altos Hills","3","1","4","Santa Clara","7","","$3,875,000","04/15/2015","49,223","ML81460172","182-16-051","Los Altos Hills","1,006.63","04/22/2015","$4,100,000","4,073","Sold","25840 Vinedo Lane","1979","94022","RA"
"$ 405.03","30","211","North Los Altos","3","1","4","Santa Clara","9","","$3,295,000","04/13/2015","10,019","ML81459635","167-32-063","Los Altos","1,157.44","04/22/2015","$4,058,000","3,506","Sold","250 Yerba Buena Place","1985","94022","R1 10"
"$ 547.77","15","240","Community Center","3","0","4","Santa Clara","31","","$3,998,000","04/15/2015","7,348","ML81460004","003-36-014","Palo Alto","1,575.96","04/19/2015","$4,025,000","2,554","Sold","930 Newell Road","2000","94303","R1"
"$ 90.92","67","447","Hillsborough Knolls","4","1","4","San Mateo","9","","$3,895,000","03/24/2015","43,996","ML81456644","031-133-100","Hillsborough","852.88","04/02/2015","$4,000,000","4,690","Sold","1250 La Cumbre Road","1948","94010","r-1"
"$ 411.90","30","239","Crescent Park","4","0","4","Santa Clara","40","","$3,998,000","03/25/2015","9,711","ML81456661","003-08-044","Palo Alto","1,315.79","05/04/2015","$4,000,000","3,040","Sold","1270 Lincoln Avenue","1985","94301","R1"
"$ 90.91","25","17","Saratoga","4","2","5","Santa Clara","195","","$3,999,800","03/19/2015","43,996","ML81455874","503-31-091","Saratoga","840.82","","","4,757","Expired","13917 Albar Court","1990","95070","SA"
"$ 544.09","15","240","Community Center","3","0","4","Santa Clara","27","","$3,998,000","03/19/2015","7,348","ML81455779","003-36-014","Palo Alto","1,565.39","","","2,554","Canceled","930 Newell Road","2000","94303","R1"
"$ 242.68","22","301","Sharon Heights / Stanford Hills","5","1","5","San Mateo","7","","$3,996,000","03/16/2015","16,466","ML81455370","074-233-140","Menlo Park","864.94","","","4,620","Canceled","1010 Sharon Park Drive","1993","94025","R1"
"$ 60.27","20","261","Portola Valley Ranch","4","1","4","San Mateo","156","0","$3,995,000","03/29/2015","66,287","ML81457406","080-530-050","Portola Valley","948.93","","","4,210","Expired","5 Oak Forest Court","1995","94028","PUD000"
"$ 217.92","69","262","Brookside / Willowbrook Area","4","1","4","San Mateo","89","","$3,988,000","03/16/2015","18,300","ML81455199","079-160-900","Portola Valley","856.90","","","4,654","Expired","1 Portola Green Circle","1946","94028","R1015M"
"$ 262.18","64","211","North Los Altos","3","1","4","Santa Clara","7","","$3,798,000","03/25/2015","15,066","ML81456881","167-29-022","Los Altos","1,439.50","04/01/2015","$3,950,000","2,744","Sold","48 Yerba Buena Avenue","1951","94022","R1"
"$ 31.16","24","17","Saratoga","5","2","6","Santa Clara","134","","$3,998,000","04/10/2015","126,760","ML81459492","503-80-005","Saratoga","580.88","08/22/2015","$3,950,000","6,800","Sold","22484 Eden Valley Court","1991","95070","RHS"
"$ 189.61","34","17","Saratoga","3","1","5","Santa Clara","35","","$3,889,000","04/06/2015","20,510","ML81458500","517-21-025","Saratoga","931.50","","","4,175","Canceled","20141 Rancho Bella Vista","1981","95070","R120"
"$ 171.65","40","448","Homeplace","3","1","5","San Mateo","78","","$3,888,000","04/12/2015","22,651","ML81459512","031-363-100","Hillsborough","1,098.31","","","3,540","Canceled","20 Tevis Place","1975","94010","R10025"
"$ 93.04","60","292","Middlefield to El Camino Atherton","3","0","4","San Mateo","1","","$3,488,000","03/23/2015","41,382","ML81456276","060-200-040","Atherton","1,555.56","03/24/2015","$3,850,000","2,475","Sold","66 Jennings Lane","1955","94027","R1001A"
"$ 70.25","83","221","Los Altos Hills","2","0","3","Santa Clara","8","","$2,895,000","04/07/2015","54,450","ML81458597","175-35-009","Los Altos Hills","1,723.75","04/15/2015","$3,825,000","2,219","Sold","13801 La Paloma Road","1932","94022","R1"
"$ 140.95","60","437","Baywood Knolls","3","0","4","San Mateo","8","","$3,000,000","04/06/2015","27,030","ML81458399","034-011-270","San Mateo","1,035.61","04/14/2015","$3,810,000","3,679","Sold","828 Columbia Drive","1955","94402","R10000"
"$ 34.23","8","23","Los Gatos Mountains","5","1","5","Santa Clara","302","","$3,995,000","04/14/2015","111,078","ML81459797","558-41-031","Los Gatos","638.32","02/09/2016","$3,802,500","5,957","Sold","19680 Old Santa Cruz Highway","2007","95033","HS"
"$ 633.33","80","237","Old Palo Alto","3","0","3","Santa Clara","9","","$2,789,000","03/17/2015","6,000","ML81455556","124-11-063","Palo Alto","1,831.33","03/26/2015","$3,800,000","2,075","Sold","2291 Cowper Street","1935","94301","R1"
"$ 4.60","14","250","La Honda","5","1","4","San Mateo","11","","$3,948,000","03/28/2015","825,462","ML81457198","083-310-120","La Honda","438.29","04/08/2015","$3,800,000","8,670","Sold","280 Woodland Vista","2001","94020","RM0000"
"$ 298.49","63","211","North Los Altos","3","1","4","Santa Clara","8","","$2,950,000","03/17/2015","12,600","ML81455583","167-14-062","Los Altos","1,260.39","03/25/2015","$3,761,000","2,984","Sold","898 Santa Rita Avenue","1952","94022","R1"
"$ 201.14","51","448","Homeplace","3","1","5","San Mateo","11","","$3,495,000","04/03/2015","18,644","ML81458254","031-083-140","Hillsborough","1,074.50","04/14/2015","$3,750,000","3,490","Sold","580 Hillsborough Boulevard","1964","94010","R10025"
"$ 85.51","35","17","Saratoga","6","0","4","Santa Clara","11","","$3,775,000","04/14/2015","43,560","ML81459795","397-01-070","Saratoga","545.79","04/25/2015","$3,725,000","6,825","Sold","14016 Camino Barco","1980","95070","R1"
"$ 104.20","70","292","Middlefield to El Camino Atherton","3","0","4","San Mateo","37","","$3,898,000","04/09/2015","35,700","ML81459159","061-350-210","Atherton","1,231.79","05/16/2015","$3,720,000","3,020","Sold","102 Encinal Avenue","1945","94027","R1001A"
"$ 68.69","56","221","Los Altos Hills","3","1","4","Santa Clara","8","","$3,200,000","03/24/2015","54,014","ML81456598","336-38-017","Los Altos Hills","984.87","04/01/2015","$3,710,000","3,767","Sold","23600 Ravensbury Avenue","1959","94024","LH"
"$ 316.24","64","211","North Los Altos","4","0","4","Santa Clara","7","","$3,200,000","03/19/2015","11,700","ML81455791","167-14-057","Los Altos","1,490.73","03/26/2015","$3,700,000","2,482","Sold","404 Traverso Avenue","1951","94022","R1"
"$ 84.61","39","221","Los Altos Hills","2","2","4","Santa Clara","0","","$2,950,000","04/15/2015","43,728","ML81460577","182-48-033","Los Altos Hills","962.04","04/15/2015","$3,700,000","3,846","Sold","27300 Deer Springs Way","1976","94022","RA"
"$ 485.93","79","238","Green Gables","3","0","4","Santa Clara","9","","$3,800,000","03/18/2015","7,500","ML81455606","003-58-037","Palo Alto","1,388.91","03/27/2015","$3,644,500","2,624","Sold","1766 Fulton Street","1936","94303","R1"
"$ 102.03","36","16","Los Gatos/Monte Sereno","4","0","5","Santa Clara","148","8","$3,750,000","03/31/2015","35,284","ML81457617","409-37-010","Monte Sereno","883.00","08/26/2015","$3,600,000","4,077","Sold","15174 Via Del Sur","1979","95030","R18"
"$ 209.50","76","211","North Los Altos","2","1","3","Santa Clara","0","","$3,600,000","03/24/2015","17,184","ML81458087","167-20-006","Los Altos","1,784.83","03/24/2015","$3,600,000","2,017","Sold","547 Van Buren Street","1939","94022","R1"
"$ 485.75","3","16","Los Gatos/Monte Sereno","3","1","4","Santa Clara","39","","$3,795,000","04/03/2015","7,405","ML81458204","510-17-103","Los Gatos","1,085.40","05/12/2015","$3,597,000","3,314","Sold","112 Wilder Avenue","2012","95030","RM520"
"$ 89.71","28","16","Los Gatos/Monte Sereno","4","1","4","Santa Clara","95","23","$3,595,000","03/30/2015","40,075","ML81457533","527-55-003","Los Gatos","541.91","","","6,634","Canceled","100 Auzerais Court","1987","95032","HR"
"$ 588.14","0","234","Midtown","4","1","5","Santa Clara","13","","$3,600,000","03/26/2015","6,053","ML81456903","132-18-062","Palo Alto","1,424.00","04/08/2015","$3,560,000","2,500","Sold","2731 Emerson Street","2015","94306","R1"
"$ 81.50","13","221","Los Altos Hills","4","0","4","Santa Clara","6","","$3,200,000","03/26/2015","43,560","ML81456959","336-20-015","Los Altos","1,028.99","04/01/2015","$3,550,000","3,450","Sold","12175 Hilltop Drive","2002","94024","RA"
"$ 304.78","68","303","Central Menlo","4","0","5","San Mateo","9","","$2,798,000","04/06/2015","11,615","ML81458433","071-172-010","Menlo Park","1,156.86","04/15/2015","$3,540,000","3,060","Sold","805 Magnolia Street","1947","94025","R10010"
"$ 629.46","109","242","Downtown Palo Alto","3","1","4","Santa Clara","4","","$2,950,000","03/25/2015","5,600","ML81456842","120-17-030","Palo Alto","1,432.93","03/29/2015","$3,525,000","2,460","Sold","845 Waverley Street","1906","94301","R2"
"$ 68.77","58","274","Central Woodside","2","1","3","San Mateo","10","","$2,995,000","04/11/2015","50,965","ML81459466","073-021-040","Woodside","1,752.50","04/21/2015","$3,505,000","2,000","Sold","112 Ravine Drive","1957","94062","R1001A"
"$ 236.33","43","632","Strand Area","2","0","3","San Mateo","20","","$3,675,000","03/18/2015","14,810","ML81455730","037-123-300","Moss Beach","1,175.29","04/07/2015","$3,500,000","2,978","Sold","193 Reef Point Road","1972","94038","R1"
"$ 76.52","59","221","Los Altos Hills","3","1","4","Santa Clara","10","","$2,995,000","03/20/2015","45,738","ML81456148","336-18-005","Los Altos Hills","1,134.89","03/30/2015","$3,500,000","3,084","Sold","24183 Dawnridge Drive","1956","94024","RA"
