"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 89.61","61","335","Farm Hills Estates Etc.","6","1","7","54","250","$3,460,000","04/06/2014","38,612","ML81411241","057-270-110","Redwood City","656.55","","","5,270","Canceled","3865 JEFFERSON Avenue","1953","94062","R1"
"$ 260.37","63","211","North Los Altos","2","1","4","3","","$2,695,000","04/09/2014","13,289","ML81411752","170-25-020","Los Altos","1,430.34","04/12/2014","$3,460,000","2,419","Sold","161 GALLI Drive","1951","94022","LA"
"$ 239.12","23","16","Los Gatos/Monte Sereno","3","1","5","13","","$3,498,000","03/18/2014","14,114","ML81408492","510-42-070","Los Gatos","815.02","03/31/2014","$3,375,000","4,141","Sold","3 MASSOL Court","1991","95030","RM"
"$ 45.31","55","263","Central Portola Valley","3","1","3","120","","$3,475,000","04/07/2014","74,488","ML81411271","079-122-200","Portola Valley","781.25","08/05/2014","$3,375,000","4,320","Sold","75 VALENCIA Court","1959","94028","R1"
"$ 110.46","15","18","Cupertino","3","1","4","9","","$3,000,000","03/18/2014","30,076","ML81408538","342-58-008","Cupertino","759.19","03/27/2014","$3,322,219","4,376","Sold","22219 HAMMOND Way","1999","95014","R1"
"$ 628.57","2","236","College","3","0","4","8","","$2,998,000","04/09/2014","5,250","ML81411733","124-24-014","Palo Alto","1,583.49","04/17/2014","$3,300,000","2,084","Sold","1540 PORTOLA Avenue","2012","94306","R1"
"$ 42.97","57","221","Los Altos Hills","2","0","4","97","","$3,295,000","03/26/2014","76,688","ML81409707","336-39-039","Los Altos Hills","1,375.21","","","2,396","Canceled","25600 FERNHILL Drive","1957","94024","RA"
"$ 62.90","33","16","Los Gatos/Monte Sereno","4","1","6","25","","$3,288,000","03/22/2014","52,272","ML81409243","510-09-071","Los Gatos","745.41","","","4,411","Canceled","18850 BLYTHSWOOD Drive","1981","95030","R1E-1"
"$ 62.90","33","16","Los Gatos/Monte Sereno","4","1","5","58","","$3,288,000","04/02/2014","52,272","ML81410720","510-09-071","Los Gatos","745.58","","","4,410","Canceled","18850 BLYTHSWOOD Drive","1981","95030","R1E-1"
"$ 80.72","26","17","Saratoga","5","1","5","16","","$3,450,000","03/19/2014","40,261","ML81408830","397-04-116","Saratoga","690.02","04/04/2014","$3,250,000","4,710","Sold","14622 CHESTER Avenue","1988","95070","R140"
"$ 255.26","8","603","Ocean Colony","3","1","4","23","103","$3,250,000","03/29/2014","12,732","ML81410153","066-590-540","Half Moon Bay","709.61","04/21/2014","$3,250,000","4,580","Sold","109 SPYGLASS Lane","2006","94019","1"
